Date,Metric,Value,Context,Source_URL,Source_Tier,Stock_or_Flow,Interpretation
2026-02-10,LLM Observability customers / span growth,">1,000 customers; spans up 10x over 6 months","Q4'25, stated directly",https://investors.datadoghq.com/static-files/71a1a6e1-3028-48a3-90f3-7662b76604e2,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock+Flow,First disclosed absolute LLM Obs customer count
2026-02-10,MCP Server usage,used by thousands of customers in preview; tool calls grew 11x QoQ (Q4 vs Q3),"Q4'25, stated directly",https://investors.datadoghq.com/static-files/71a1a6e1-3028-48a3-90f3-7662b76604e2,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock+Flow,MCP still in preview at this point (GA was 2026-03-09)
2026-02-10,AI integrations customers,"~5,500","Q4'25, stated directly",https://investors.datadoghq.com/static-files/71a1a6e1-3028-48a3-90f3-7662b76604e2,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock,—
2026-02-10,Bits AI SRE Agent usage,"2,000+ trial/paying customers ran investigations in the past month","Q4'25, GA'd in Dec 2025",https://investors.datadoghq.com/static-files/71a1a6e1-3028-48a3-90f3-7662b76604e2,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Flow,"Adjacent AI-for-Datadog product, not LLM Observability itself; context"
2026-03-09,Datadog MCP Server,GA launch,product launch,https://investors.datadoghq.com/news-releases/news-release-details/datadog-launches-mcp-server-provide-ai-agents-secure-real-time,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Event,Usage/preview activity predates this GA date (see Q4'25 row)
2026-05-07,LLM Observability span growth,nearly tripled QoQ,"Q1'26, stated directly",https://investors.datadoghq.com/static-files/b162f4b4-ae66-4fd2-bc41-92b4f9a877c9,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Flow,—
2026-05-07,MCP Server tool-call growth,quadrupled QoQ,"Q1'26, stated directly",https://investors.datadoghq.com/static-files/b162f4b4-ae66-4fd2-bc41-92b4f9a877c9,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Flow,—
2026-05-07,AI integrations customers,">6,500 (20% of customers, 80% of ARR)",Q1'26,https://www.theglobeandmail.com/investing/markets/stocks/DDOG/pressreleases/1815156/datadog-q1-earnings-call-highlights/,"T2 - Verbatim call transcript, third-party host",Stock,Direct-quote wire article; AI-native %-of-revenue not disclosed this quarter
2026-08-06,AI-native customer count,>750 ('AI customers'); all top-10 AI leaders are customers,"Q2'26, stated directly",https://www.investing.com/news/transcripts/earnings-call-transcript-datadog-beats-q2-2026-estimates-but-shares-fall-156-93CH-4842560,"T2 - Verbatim call transcript, third-party host",Stock,Direct-quote article; AI-native %-of-revenue still not disclosed
2026-08-06,MCP tool-call growth,quadrupled QoQ again; >22x vs Q4'25,"Q2'26, stated directly",https://investors.datadoghq.com/static-files/2360a5cc-f17a-4731-b74a-fb6f4617baf5,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Flow,—
2026-09 (docs snapshot),Product naming,"Docs navigation now reads 'Agent Observability' throughout (breadcrumbs, SDK name, page titles); URL path still /llm_observability/; blog posts still titled 'LLM Observability'; Japanese-locale docs still say 'LLM Observability'",confirmed directly against Datadog's own documentation,https://docs.datadoghq.com/llm_observability/,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Event,Rename APPEARS in progress on English docs; NO exact rebrand date could be established - stated as such rather than inferred
ongoing,LLM Observability billing unit,LLM span count (NOT tokens),"current, per official docs",https://docs.datadoghq.com/llm_observability/ ; https://www.datadoghq.com/product/ai/llm-observability/3/,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),—,See pricing section
